,date,name,code,diff,ranking,total
0,05-09,亚星客车,600213,89,121,3627
1,05-10,亚星客车,600213,28,93,3626
2,05-13,亚星客车,600213,4,89,3630
3,05-14,亚星客车,600213,-30,119,3629
4,05-15,亚星客车,600213,2,117,3630
5,05-16,亚星客车,600213,-32,149,3630
6,05-17,亚星客车,600213,-45,194,3630
13,05-20,亚星客车,600213,-47,241,3632
41,05-21,亚星客车,600213,-34,275,3631
48,05-22,亚星客车,600213,-66,341,3631
62,05-23,亚星客车,600213,-98,439,3630
76,05-24,亚星客车,600213,196,243,3632
90,05-27,亚星客车,600213,39,204,3635
97,05-28,亚星客车,600213,-22,226,3635
111,05-29,亚星客车,600213,-8,234,3634
117,05-30,亚星客车,600213,17,217,3635
118,05-31,亚星客车,600213,-82,299,3634
132,06-03,亚星客车,600213,-185,484,3636
146,06-04,亚星客车,600213,-39,523,3636
153,06-05,亚星客车,600213,-71,594,3639
160,06-06,亚星客车,600213,-66,660,3639
167,06-10,亚星客车,600213,203,457,3641
174,06-11,亚星客车,600213,-41,498,3641
181,06-12,亚星客车,600213,-22,520,3641
188,06-13,亚星客车,600213,225,295,3641
195,06-14,亚星客车,600213,-9,304,3641
202,06-17,亚星客车,600213,-77,381,3646
209,06-18,亚星客车,600213,8,373,3647
